id,project_name,title,description,name_categories,token_name,proof_archive_link,technical_issue,token_address,token_addresses,logo_link,date,scam_updates,proof_link,website_link,webarchive_link,twitter_link,telegram_link,our_post_link,funds_lost,funds_returned,funds_by_chains,funds_recovered,active,git_hub,git_hub_contract_link,discord,bug_bounty_program_link,bug_bounty_program_company,audit_code_conf,is_verified_source_code,is_public_team,scam_type,network,scamNetworks,auditedBy
388,DTP,DTP,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,DTP,,,0x025d5f67d58c9ed14503edffa3ec3578af615854,[],safe/files/scamDatabase/logo/60e6fda9ebc03.png,,[],https://twitter.com/Token_Sniffer/status/1373698524961906691,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 388, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
387,SmartChainScan,SmartChainScan,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Other,SCST,,,0xf6d0ed593711234bc8fd91904d4976bf21314094,[],safe/files/scamDatabase/logo/60e6fd6ec208b.png,,[],https://tokensniffer.com/exploit/Reported%20by%20user(s),,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 387, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
386,Gigachad Kishu,Gigachad Kishu,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.</p>",Token,GISHU,,,0xd92a608a2b8e6c14eb0b2fabca7101bbd420881d,[],safe/files/scamDatabase/logo/60e6fd411e8d1.png,2021-6-15,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 1, 'scam_database_id': 386, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
385,CoinCoin,CoinCoin,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,CC,,,0x91d160e312801b9ff13b220516a8f510bad7d10f,[],safe/files/scamDatabase/logo/60e6fd10a8e4a.png,,[],https://twitter.com/Token_Sniffer/status/1390015526294810624,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 385, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
384,ICONFoundation,ICONFoundation,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Other,ICON,,,0x05d84a869e14d538f8a70a0c79848f10d2f76542,[],safe/files/scamDatabase/logo/60e6fcb815968.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 56, 'scam_database_id': 384, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
383,Wealthfront,Wealthfront,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,WF,,,0xa837efd4500966a45148073f57fa855205597612,[],safe/files/scamDatabase/logo/60e6fc8897730.png,,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 383, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
382,ANT1GOON,ANT1GOON,"<p>A review of the token contract shows low network activity, which didn't lead to significant funds loss for the user in the past. The project is considered abandoned.</p><p><br></p>",Token,GOON,,,0x61db2fb090d890ea9fc09dd837fd47cf2f92ee26,[],safe/files/scamDatabase/logo/60e6fc52a3feb.png,,[],"https://twitter.com/Token_Sniffer/status/1381346761566916614, https://cryptot3ddybear.gitlab.io/blog/posts/scam-explained-bsc-stealthy-lp-block/",,,,,,0,0,[],,1,,,,,,,,,"{'id': 10, 'type': 'Rugpull'}",{},"[{'networks_id': 1, 'scam_database_id': 382, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
381,LordShiba,LordShiba,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.<br><br></p>",Token,LSA,,,0x215477e469e4bba9148e9a7fa7bbed3d2ef9db07,[],safe/files/scamDatabase/logo/60e6fbeeb4802.png,2021-6-15,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 56, 'scam_database_id': 381, 'networks': {'id': 56, 'name': 'Binance', 'icon_link': 'safe/files/network/bsc.png'}}]",[]
380,Instadapp,Instadapp,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.<br><br></p>",Token,INST,,,0x7b1385e62febf72dc17e2c5804605d476ad404ff,[],safe/files/scamDatabase/logo/60e6fb70a7873.png,2021-6-15,[],https://twitter.com/Token_Sniffer/status/1374999601485291522,,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 1, 'scam_database_id': 380, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
379,ISTARDUST,ISTARDUST,"<p>The contract owner could disable the transfer function, which restricted users in selling their tokens.<br><br></p>",Token,ISTAR,,,0xf56c661fa042739469d27ff0a12f765b751842ff,[],safe/files/scamDatabase/logo/60e6fb3c70a14.png,,[],https://twitter.com/Token_Sniffer/status/1382886019419103233,,,,,,0,0,[],,1,,,,,,,,,"{'id': 7, 'type': 'Honeypot'}",{},"[{'networks_id': 1, 'scam_database_id': 379, 'networks': {'id': 1, 'name': 'Ethereum', 'icon_link': 'safe/files/network/ethereum.png'}}]",[]
